barcode,product_name,brands,category,latest_price,price_per_100g,energy_kcal_100g,sugars_100g,fat_100g,salt_100g,nutriscore_numeric,nutriscore_grade
5025125000006,Sourdough White Ciabattin,Jason's,bread,2.3,0.396551724137931,230.0,2.4,0.8,0.905,,b
7300400481595,Tartine croustillante Authentique,wasa,bread,2.4,0.8727272727272727,336.0,1.0,1.5,1.0,,a
7300400481588,FIBRES,Wasa,bread,1.79,0.7782608695652175,333.0,2.0,5.0,1.2,,a
7311070032611,Krisprolls complets sans sucres ajoutés,Krisprolls,bread,2.74,0.6447058823529412,400.0,1.1,6.6,1.1,,a
3029330022428,14 Maxi Tranches complet sans sucres ajoutés,Jacquet,bread,1.56,0.28363636363636363,243.0,3.8,3.0,1.2,,b
20006105,Roggen Vollkornbrot,Afischer,bread,1.49,0.298,209.0,3.93,1.79,1.0,,a
3760049790214,Pain De Mie Bio,"La Boulangère,La Boulangère Bio",bread,2.01,0.40199999999999997,268.0,6.3,4.2,1.1,,c
3760049791006,Tartines campagne 450g,La boulangere,bread,2.25,0.5,274.0,2.6,6.5,1.2,,c
4056489007180,pain de mie grandes tranches spécial sandwich complet,"Lidl,Maître Jean Pierre",bread,1.63,0.21733333333333332,258.0,5.0,4.5,1.0,,b
7300400481571,wasa,"Barilla,Wasa",bread,1.81,0.6703703703703704,338.0,2.0,1.5,1.0,,a
3228857001231,Harrys brioche tressee nature au sucre perle sans additifs 500g,Harrys,bread,2.64,0.528,356.0,13.0,13.0,0.8,,c
3228857000166,100% mie complet 500g,Harry's,bread,1.83,0.366,250.0,5.5,4.3,1.1,,b
3392460480827,Biscottes 6 Céréales,Heudebert,bread,1.69,0.5633333333333334,402.0,3.4,7.8,1.6,,d
3228857001378,Brioche moins de sucre,Harrys,bread,3.38,0.6969072164948454,327.0,9.3,11.0,1.0,,c
3760049794298,Pain de mie Bio grandes tranches céréales & graines 500g,La Boulangère,bread,3.7,0.74,310.0,4.9,8.6,1.0,,c
3017760542890,Pain grillé au blé complet,LU Pelletier,bread,2.25,0.45,387.0,2.6,4.9,1.8,,d
3228857000852,Harrys pain de mie 100% mie nature sans croute 500g,Harrys,bread,2.55,0.51,264.0,7.0,4.0,1.1,,c
3760049790252,Pain de mie grandes tranches Toastiligne complet,la boulangère,bread,1.45,0.29,226.0,2.8,1.9,0.98,,a
8410076470812,6 Wraps blé complet,Old El Paso,bread,3.05,0.8714285714285713,295.0,2.24,6.03,1.05,,c
3182180001477,Grilletine au froment sans sucres ajoutés,brioche pasquier,bread,2.36,0.9254901960784314,425.0,1.7,9.6,0.89,,b
3228857002344,Pain de mie american sandwich complet sans sucres ajoutés 600g,Harrys,bread,1.67,0.2783333333333333,280.0,3.6,6.8,1.1,,b
5010003000339,Tasty Wholemeal Medium,Hovis,bread,1.39,0.17375,220.0,4.0,1.75,0.888,,a
3182180002115,Grilletines blé complet,"Brioche Pasquier, Pasquier",bread,2.24,0.9256198347107439,418.0,7.3,10.0,0.87,,c
3228857001194,Harrys beau & bon pain de mie farine de ble cereales & graines 320g,Harrys,bread,2.4,0.7499999999999999,286.0,3.5,6.5,1.0,,b
7311070032598,Krisprolls complets sans sucres ajoutés,KRISPROLLS,bread,2.18,0.9083333333333334,400.0,3.85,6.92,1.08,,c
3182180060320,Tartines de Pain Blé Complet,Brioche Pasquier,bread,1.84,0.7666666666666667,382.0,4.2,5.0,1.5,,c
3017760363990,Heudebert Fibre +,Heudebert,bread,2.31,0.8250000000000001,384.0,5.4,5.7,1.1,,c
3228857000906,Pain AMS complet,Harrys,bread,1.31,0.21833333333333335,253.0,4.9,4.5,1.2,,b
3760049796384,Tartines céréales 450g,La Boulangère,bread,2.41,0.5355555555555556,298.0,2.9,10.0,1.1,,b
7311070032604,Krisprolls complets,Pågen,bread,3.69,0.868235294117647,397.0,7.0,6.2,1.6,,d
7311070362664,Krisprolls,Krisprolls,bread,2.99,0.703529411764706,432.0,10.0,11.0,0.67,,d
3760049795479,Pain de mie grandes tranches Toastiligne céréales & graines 500g,La Boulangère,bread,1.77,0.354,250.0,3.8,2.9,1.0,,b
5010003000131,Soft White Medium Bread,Hovis,bread,1.39,0.17375,232.0,3.5,1.75,0.887,,c
3182180001996,Biscottes Sans sucres ajoutés Blé complet,Pasquier,bread,2.09,0.6966666666666667,384.0,3.4,6.2,1.1,,a
5036034406193,Mission Deli White Wraps,Auto Extreme,bread,1.59,,313.0,2.13,7.05,0.775,,c
4056489235798,Pain de mie grandes tranches 7 cereales,Maître Jean Pierre,bread,1.62,0.21600000000000003,290.0,3.4,9.4,1.0,,b
8410076472953,Wraps,Old El Paso,bread,3.8,1.0857142857142856,299.0,2.1,5.2,1.0,,c
